component	version	sha256	required_for
Job-to-Node Allocator	0.6	58f23b90824d73b584ea5bfce4ac5805a537ab0283508ee6c81ccf2458f80ead	core placement/migration
Job-to-Node Allocator Network	0.6-network1	e6ea65304f51e16ee336a27783d185b09cdfff7117b4abe8ed8afabe2cb03b1f	remote placed-start destination CHECK
Queue Fabric	0.9-dev5	05b3cbc92aff353dc3a44eb0373d7efb1e49a5e81071892b410a8b8f63fa2262	queue handoff/status/remote start
Alchemy Objects	0.8	7683ed56ea99097226ea2f13f73305fb49919ba2ec822df2253ccfff59c6c073	Queue Fabric dependency
Crypto	0.8.3	5ebcab81493287499719f98920cb190d37afc79992cb34c7772d5392f63b9b49	digests
Runtime Reference	0.4	c42a0c51cc5f5e26056d22db97d53eae2633141a7cebe3304b5f19b1847f957a	Crypto native provider
Foreign Runtime	0.22.6	25a7b258b7920c355b96f19807515d6fb6e419687714396589b054a7029ab465	Crypto native provider
Storage Fabric	0.1-dev7	5a74891b868d91ba14ac4fe1fb9e02c1faaa203948aed0fa652c7cfb1473a09f	optional checkpoint transfer
