name	version	sha256	required_for
job_node_allocator	0.6	58f23b90824d73b584ea5bfce4ac5805a537ab0283508ee6c81ccf2458f80ead	core authority; exact sources embedded here
queue_fabric	0.9-dev5	05b3cbc92aff353dc3a44eb0373d7efb1e49a5e81071892b410a8b8f63fa2262	direct queues + encrypted socket transport
alchemy_objects	0.8	7683ed56ea99097226ea2f13f73305fb49919ba2ec822df2253ccfff59c6c073	Queue Fabric runtime authority base
crypto	0.8.3	5ebcab81493287499719f98920cb190d37afc79992cb34c7772d5392f63b9b49	allocator digests + Queue Fabric transport crypto
runtime_reference	0.4	c42a0c51cc5f5e26056d22db97d53eae2633141a7cebe3304b5f19b1847f957a	Crypto native-provider selection
foreign_runtime	0.22.6	25a7b258b7920c355b96f19807515d6fb6e419687714396589b054a7029ab465	Crypto/OpenSSL native provider
